edge_idx,causal_score
0,0.20691308
1,0.20487109
2,0.2082578
3,0.16094145
4,0.20983195
5,0.15980044
6,0.13539423
7,0.16992556
8,0.12001704
9,0.1795447
10,0.22195727
11,0.14742576
12,0.15522672
13,0.14566295
14,0.11611154
15,0.13278022
16,0.16518073
17,0.20289153
18,0.192416
19,0.12773256
20,0.08604879
21,0.078711905
22,0.10548409
23,0.12459915
24,0.031106394
25,0.03520289
26,0.058410555
27,0.061268225
28,0.041377883
29,0.078849874
30,0.05211796
31,0.068011865
32,0.042770192
33,0.08159351
34,0.08864455
35,0.041384798
36,1.0
37,0.99470884
38,1.0
39,1.0
40,1.0
41,0.9482465
42,0.98241293
43,1.0
44,1.0
45,0.93914837
46,1.0
47,1.0
48,1.0
49,0.88237447
50,1.0
51,1.0
52,0.42238152
53,0.5079962
54,0.5225855
55,1.0
56,0.4120264
57,0.34995627
58,0.5181101
59,0.38653654
60,0.6956181
61,0.50137407
62,0.5237635
63,0.56702846
64,0.53440404
65,0.9740677
66,0.976478
67,0.6787124
68,0.16553973
69,0.44357857
70,0.50251323
71,0.24429995
72,0.44537637
73,0.479943
74,0.35003868
75,0.45771515
76,0.27126092
77,0.4957684
78,0.5050718
79,0.4103554
80,0.50871974
81,0.31916133
82,0.2522446
83,0.43630147
84,0.3213801
85,0.384522
86,0.3248143
87,0.2034415
88,0.35139737
89,0.3292525
90,0.3064144
91,0.33749527
92,0.42863888
93,0.21663547
94,0.2302972
95,0.2628033
96,0.24589352
97,0.296346
98,0.48063228
99,0.49077702
100,0.36437654
101,0.4353957
102,0.41564736
103,0.5331133
104,0.4996105
105,0.1815875
106,0.38012075
107,0.5067116
108,0.4127127
109,0.39844108
110,0.4302791
111,0.30974537
112,0.44920617
113,0.23319899
114,0.2501691
115,0.2932402
116,0.22083254
117,0.17198005
118,0.2361554
119,0.2132302
120,0.26565862
121,0.4759898
122,0.19734494
123,0.19844922
124,0.1686907
125,0.29256663
126,0.2441021
127,0.37717205
128,0.09101872
129,0.11637098
130,0.06876277
131,0.07480519
132,0.1023005
133,0.098781176
134,0.062307596
135,0.08827943
136,0.092028625
137,0.16231947
138,0.15923879
139,0.09910886
140,0.08800159
141,0.09592901
142,0.14642452
143,0.64890504
144,0.43410495
145,0.87558943
146,0.3456547
147,0.5782999
148,0.45110756
149,0.569238
150,0.7635485
151,0.35425058
152,0.16269901
153,0.58334607
154,0.60582215
155,0.27405578
156,0.5032771
157,0.59612894
158,0.41644585
159,0.1534891
160,0.16130958
161,0.18665591
162,0.16862896
163,0.19317248
164,0.21045421
165,0.14632906
166,0.19629765
167,0.21658817
