edge_idx,causal_score
0,0.8334439
1,0.96209484
2,0.83291775
3,0.9894107
4,0.9030373
5,0.94618636
6,0.8807041
7,0.9925833
8,0.9928282
9,0.96063757
10,0.9665133
11,0.9490288
12,0.9542163
13,0.9373907
14,0.92950046
15,0.8980233
16,0.952481
17,0.80453837
18,0.8506563
19,0.9355963
20,0.9719747
21,0.9670748
22,0.969125
23,0.96882075
24,0.9511284
25,0.8632911
26,0.6366978
27,0.98519593
28,0.97357935
29,0.92391604
30,0.94751996
31,0.97134817
32,0.85041386
33,0.9629771
34,0.9656222
35,0.99012804
36,1.0
37,1.0
38,0.99331486
39,0.9943006
40,1.0
41,1.0
42,0.9968783
43,0.9923068
44,1.0
45,0.9948559
46,0.9861853
47,0.9925374
48,0.9952263
49,1.0
50,0.9986891
51,0.9235707
52,0.95136845
53,0.8716787
54,0.8963766
55,0.96816117
56,0.8914338
57,0.60220975
58,0.72261804
59,0.7601466
60,0.9420795
61,0.6392463
62,0.95040524
63,0.8310942
64,0.9451947
65,0.99425673
66,0.8754069
67,0.9653642
68,0.47191292
69,0.6812189
70,0.6628991
71,0.45396537
72,0.117813066
73,0.6886954
74,0.6931448
75,0.7033858
76,0.5159442
77,0.67080015
78,0.3871045
79,0.4074873
80,0.5104565
81,0.21627127
82,0.5775659
83,0.26727766
84,0.43971792
85,0.9645142
86,0.9547118
87,0.7535959
88,0.8457269
89,0.44239217
90,0.4467561
91,0.58523774
92,0.82686776
93,0.90115577
94,0.7517571
95,0.8123524
96,0.60341704
97,0.8026831
98,0.7859828
99,0.86473143
100,0.45618796
101,0.98622257
102,0.8596317
103,0.7876081
104,0.9634753
105,0.81556904
106,0.96215665
107,0.82348174
108,0.76270914
109,0.9362475
110,0.8649878
111,0.9379435
112,0.9744539
113,0.82618177
114,0.8309615
115,0.97073007
116,0.10233955
117,0.2962272
118,0.5973044
119,0.26429108
120,0.32338595
121,0.53060657
122,0.06836779
123,0.196871
124,0.1591766
125,0.44254503
126,0.068551265
127,0.11242
128,0.17376906
129,0.22379181
130,0.16195716
131,0.2710623
132,0.20095336
133,0.4794176
134,0.15056244
135,0.91626877
136,0.9700441
137,0.9680162
138,0.71596783
139,1.0
140,0.9909303
141,0.9437927
142,0.8968245
143,0.9920264
144,0.9606202
145,1.0
146,0.994645
147,0.94751585
148,0.84911627
149,0.8854344
150,0.8631405
151,0.7069352
152,0.83572423
153,0.92378515
154,0.60991836
155,0.85412353
156,0.8352979
157,0.91686344
158,0.94512576
159,0.7770903
160,0.9393753
161,0.8817009
162,0.9146389
163,0.90739805
164,0.81964946
165,0.9288093
166,0.8731008
167,0.98022467
168,0.95798254
169,0.9567376
170,0.9822621
171,0.9934195
172,0.98955125
173,0.9427106
174,0.9544819
175,0.9269557
176,0.9505788
177,0.9921837
178,0.954375
179,0.94786197
180,0.9856484
181,0.9310465
182,0.8815917
183,0.9682307
184,0.9571171
185,0.90039605
186,0.982359
187,0.90866745
188,0.735501
189,0.8914521
190,0.77224016
191,0.8722238
192,0.94674784
193,0.77383506
194,0.75759375
195,0.82842267
196,0.9222953
197,0.9187846
198,0.8980466
199,0.85547733
200,0.80916715
201,0.927494
202,0.7841395
203,0.3392755
204,0.8482589
205,0.8823427
206,0.82737666
207,0.42316583
208,0.943013
209,0.7842481
210,0.7035656
211,0.8375383
212,0.607489
213,0.94842523
214,0.7032513
215,0.92051196
216,0.52161556
217,0.73780435
218,0.73042977
219,0.9670434
220,0.83533275
221,0.6980285
222,0.83195376
223,0.9498641
224,0.49871936
225,0.49463022
226,0.84051657
227,0.68817526
228,0.49615833
229,0.89019036
230,0.2962009
231,0.43538794
232,0.08738781
233,0.053358853
234,0.22128232
235,0.19354577
236,0.2427267
237,0.18311867
238,0.15321049
239,0.1625165
240,0.27592278
241,0.2109131
242,0.31000867
243,0.3585964
244,0.24384727
245,0.98645264
246,0.99526155
247,0.81021935
248,0.99263775
249,0.9957398
250,0.9727033
251,0.98991364
252,0.94289076
253,0.976521
254,0.98779005
255,0.9958611
256,0.90722436
257,0.9933375
258,0.9632055
259,0.98248214
260,0.99311686
261,0.28308117
262,0.7174496
263,0.5564278
264,0.8182005
265,0.54141945
266,0.94384307
267,0.39107868
268,0.6907858
269,0.82929534
270,0.8755874
271,0.8490355
272,0.6076918
273,0.5452308
274,0.46049324
275,0.75243837
276,0.82440925
277,0.73088884
278,0.49129826
279,0.5028744
280,0.7884942
281,0.39730078
282,0.41198185
283,0.68821824
284,0.6128114
285,0.7144885
286,0.7231873
287,0.78076136
288,0.85117966
289,0.88853
290,0.44660062
291,0.96729106
292,1.0
293,0.996785
294,0.99826443
295,0.99367064
296,0.9983619
297,0.9733159
298,0.9969447
299,0.92569613
300,0.9959001
301,0.9972208
302,0.9958691
303,0.9515451
304,0.9984697
305,0.98563826
306,1.0
307,0.99683017
308,0.9946646
309,0.9847793
310,1.0
311,0.97478133
312,0.9644109
313,0.9843632
314,0.98595804
