edge_idx,causal_score
0,0.31127846
1,0.5244199
2,0.46225473
3,0.5862389
4,0.47859752
5,0.3934126
6,0.48408556
7,0.3435941
8,0.36281282
9,0.46724635
10,0.40778053
11,0.5541222
12,0.5420666
13,0.5564301
14,0.44861698
15,0.45289484
16,0.49226958
17,1.0
18,0.8590605
19,0.389447
20,1.0
21,0.32293105
22,0.7659161
23,1.0
24,0.42201564
25,0.3767052
26,0.89011574
27,0.48348814
28,0.8214744
29,0.45162162
30,0.763329
31,0.27678496
32,0.15468362
33,0.09192368
34,0.30398595
35,0.10586391
36,0.1736546
37,0.2978433
38,0.4320486
39,0.15583332
40,0.5009438
41,0.5090739
42,0.26289374
43,0.29081893
44,0.21309602
45,0.27353612
46,1.0
47,0.9864209
48,1.0
49,1.0
50,1.0
51,1.0
52,0.97667885
53,1.0
54,1.0
55,1.0
56,0.9899756
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.053651206
63,0.066631354
64,0.16133593
65,0.122066855
66,0.16588426
67,0.09874744
68,0.14950779
69,0.07326631
70,0.119144045
71,0.18570547
72,0.14517067
73,0.1102773
74,0.16151382
75,0.10645919
76,0.19857593
77,0.09452268
78,0.2724156
79,0.25919113
80,0.31522432
81,0.1741417
82,0.27109197
83,0.21393919
84,0.19821687
85,0.13932522
86,0.1650862
87,0.22362718
88,0.298847
89,0.14860052
90,0.16182043
91,0.18335302
92,0.22574908
93,0.1971879
94,0.1636187
95,0.2300097
96,0.2631788
97,0.23226233
98,0.31120986
99,0.3201718
100,0.20610762
101,0.122531146
102,0.24667257
103,0.2718432
104,0.20858772
105,0.2372686
106,0.28739032
107,0.37846062
108,0.3009857
109,0.1718278
110,0.23743749
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,0.3402876
129,0.4454382
130,0.41380408
131,0.21432586
132,0.27854624
133,0.39779684
134,0.447829
135,0.3201421
136,0.6352854
137,0.50931895
138,0.24626316
139,0.480771
140,0.24224086
141,0.52200925
142,0.37317297
143,0.862325
144,0.6000602
145,0.97356904
146,0.8777176
147,1.0
148,1.0
149,0.900892
150,1.0
151,0.76616323
152,1.0
153,0.6433728
154,0.43985626
155,1.0
156,0.5849788
157,1.0
158,0.15515485
159,0.33588442
160,0.17934793
161,0.33600235
162,0.17577717
163,0.12761751
164,0.16616985
165,0.26723897
166,0.08779831
167,0.21490838
168,0.24137796
169,0.24242361
170,0.23791324
171,0.2667344
