edge_idx,causal_score
0,0.66100013
1,0.7373889
2,0.8969036
3,0.7531601
4,0.58836347
5,0.69184786
6,0.8695623
7,0.7386508
8,0.4826662
9,0.596966
10,0.7050134
11,0.5361101
12,0.70476884
13,0.60567045
14,0.6547858
15,0.6282215
16,0.4296539
17,0.3350487
18,0.5138558
19,0.46103773
20,0.5085654
21,0.7864583
22,0.53633493
23,0.72193384
24,0.53369427
25,0.21111159
26,0.8323637
27,0.5285893
28,0.6249094
29,0.4917888
30,0.5756392
31,0.56658185
32,0.4861602
33,0.4748777
34,0.28591493
35,0.943401
36,1.0
37,0.98949784
38,0.9970881
39,0.9890772
40,0.99933374
41,0.9640199
42,0.9527316
43,1.0
44,1.0
45,0.98108256
46,0.9850664
47,0.86174065
48,1.0
49,0.90763694
50,1.0
51,0.9204776
52,0.97089344
53,0.7456256
54,0.53320074
55,0.90096575
56,0.9306651
57,0.69707423
58,0.93288416
59,0.68962824
60,0.6217193
61,0.8296185
62,0.9265154
63,0.8104386
64,0.8082645
65,0.9073507
66,0.96324074
67,0.8811229
68,0.8776726
69,0.8377871
70,0.9738218
71,0.932138
72,0.9389564
73,0.94787985
74,0.9305204
75,0.92790973
76,0.9564238
77,0.7738552
78,0.95007896
79,0.9543823
80,0.84878796
81,0.94070476
82,0.99388707
83,0.9927295
84,0.97676694
85,0.98952717
86,0.92932785
87,0.97608465
88,1.0
89,0.95751
90,0.93430156
91,0.98448056
92,0.9894346
93,0.9774482
94,0.9768175
95,0.8767909
96,0.9686958
97,0.931648
98,0.849212
99,0.92492986
100,0.99288523
101,0.8757953
102,0.9134011
103,0.78035265
104,0.7097598
105,0.7264207
106,0.86451936
107,0.9730993
108,0.93462276
109,0.88153595
110,0.8713747
111,0.88287854
112,0.97534645
113,0.85129255
114,0.67357564
115,0.8870872
116,0.8391428
117,0.9099202
118,0.70675236
119,0.848975
120,0.99402434
121,0.93352735
122,0.88216835
123,0.97607434
124,0.8466664
125,0.9000997
126,0.90162426
127,0.9091779
128,0.2413055
129,0.61962765
130,0.64082175
131,0.5237875
132,0.27734074
133,0.7330242
134,0.22306351
135,0.14654063
136,0.23473692
137,0.39997292
138,0.51163757
139,0.37308118
140,0.28566825
141,0.22970752
142,0.4489254
143,0.9152713
144,0.44029853
145,0.77087116
146,0.37039447
147,0.53825366
148,0.5800859
149,0.596104
150,0.36398974
151,0.56606406
152,0.75225866
153,0.8167667
154,0.6588539
155,0.5540781
156,0.7090421
157,0.6710552
158,0.60625386
159,0.59282935
160,0.6745851
161,0.7467862
162,0.64551324
163,0.8884161
164,0.59279543
165,0.6260424
166,0.8054885
167,0.71331507
168,0.93481714
169,0.7270424
170,0.888572
171,0.8865662
172,0.5604129
173,0.9320005
174,0.9688244
175,0.9597268
176,0.80929
177,0.8361228
178,0.7509879
179,0.98207575
180,0.8295221
181,0.79518104
182,0.8709731
183,0.8555721
184,0.8429205
185,0.95622915
186,0.9419203
187,0.94997406
188,0.8633183
189,0.8962938
190,0.8366813
191,0.8867149
192,0.8180287
193,0.64879113
194,0.87905866
195,0.7412321
196,0.6319423
197,0.82446396
198,0.8955916
199,0.8830654
200,0.83980334
201,0.5475322
202,0.7336468
203,0.83148736
204,0.7359987
205,0.6916729
206,0.62020403
207,0.8958537
208,0.32422417
209,0.55049956
210,0.8311516
211,0.6228916
212,0.53485197
213,0.44583315
214,0.85015684
215,0.9059819
216,0.83769226
217,0.8757897
218,0.47184107
219,0.7132943
220,0.98037136
221,0.9154057
222,0.9419518
223,0.959178
224,0.80825204
225,0.9658835
226,0.739024
227,0.89516795
228,0.92627937
229,0.9548923
230,0.74105936
231,0.9450316
232,0.57385707
233,0.866083
234,0.82925487
235,0.93545604
236,0.95868725
237,0.78675085
238,0.98642415
239,0.9837026
240,0.93180555
241,0.91740644
242,0.9762594
243,0.84376794
244,0.95335567
245,0.93985975
246,0.81313163
247,0.88016564
248,0.9769419
249,0.95520127
250,0.7747696
251,0.73037535
252,0.6631086
253,0.4002244
254,0.6889577
255,0.34539378
256,0.5174113
257,0.78885716
258,0.48909277
259,0.8531846
260,0.82415396
261,0.4302378
262,0.98083204
263,0.63796675
264,0.69356716
265,0.34484228
266,0.37780172
267,0.40443856
268,0.28790262
269,0.53968185
270,0.6010298
271,0.64218783
272,0.5038164
273,0.6409654
274,0.5881518
275,0.34579343
276,0.55760306
277,0.43051696
278,0.43660155
279,0.6664856
280,0.43765634
281,0.5023784
282,0.67126554
283,0.2960785
284,0.26918373
285,0.6551055
286,0.44604164
287,0.26013654
288,0.7857599
289,0.8274876
290,0.355676
291,0.6574998
292,0.45332018
293,0.8400687
294,0.74662894
295,0.60528684
296,0.81087404
297,0.87694657
298,0.5788082
299,0.7195269
300,0.8657634
301,0.72302693
302,0.8765404
303,0.839791
304,0.8071869
305,0.8406817
306,0.74630773
307,0.900915
308,0.7780856
309,0.45095876
310,0.8358575
311,0.8826618
312,0.60948277
313,0.8008874
314,0.9211752
315,0.8956063
316,0.81207323
317,0.81273156
318,0.89312696
319,0.7867956
320,0.80940396
321,0.6006486
322,0.84365284
323,0.7512157
324,0.75608003
325,0.95895123
326,0.94746953
327,0.75872445
328,0.96834725
329,0.9671552
330,0.9732517
331,0.8060114
332,0.91135216
333,0.88243395
334,0.8274509
335,0.7709829
336,0.74519473
337,0.94684917
338,0.98094255
339,0.9097917
340,0.8024116
341,0.97320807
342,0.9721539
343,0.95223683
344,1.0
345,1.0
346,0.9933852
347,0.98962677
348,1.0
349,0.9707811
350,1.0
351,1.0
