edge_idx,causal_score
0,0.32566428
1,0.43515906
2,0.56732327
3,0.24621345
4,0.6352631
5,0.17722662
6,0.3511214
7,0.37757102
8,0.6140612
9,0.82509875
10,0.31668586
11,0.44136047
12,0.3948541
13,0.18144399
14,0.38115448
15,0.21102381
16,0.075855434
17,0.04406321
18,0.088987514
19,0.17531885
20,0.18067908
21,0.0951814
22,0.15072767
23,0.13912454
24,0.06799596
25,0.04446834
26,0.043610822
27,0.069113515
28,0.08696903
29,0.08302407
30,0.07407902
31,0.0644366
32,0.056681197
33,0.07983829
34,0.25349796
35,0.19702442
36,0.27574742
37,0.2840213
38,0.19140401
39,0.12592942
40,0.39998823
41,0.6103198
42,0.26506293
43,0.523445
44,0.24574134
45,0.3113729
46,0.12873669
47,0.22523199
48,0.31692314
49,0.109496556
50,0.11384171
51,0.12764123
52,0.10984685
53,0.0710036
54,0.13045247
55,0.09869609
56,0.08387632
57,0.11837732
58,0.12948409
59,0.11964251
60,0.092534706
61,0.15019105
62,0.06933403
63,0.07512215
64,0.22684434
65,0.12168094
66,0.16194499
67,0.3043756
68,0.3467708
69,0.23307155
70,0.22591305
71,0.28424338
72,0.23988853
73,0.18436198
74,0.20391303
75,0.16674948
76,0.34068972
77,0.19931933
78,0.23017073
79,0.18572094
80,0.17521204
81,0.40646
82,0.33873978
83,0.62476295
84,0.46864069
85,0.41350746
86,0.6814185
87,0.67589635
88,0.55279666
89,0.5932808
90,0.4796911
91,0.44046444
92,0.30206612
93,0.43008643
94,0.49918398
95,0.37964347
96,0.59530807
97,0.4650356
98,0.43881685
99,0.78634065
100,0.8244441
101,0.8819229
102,0.9035298
103,0.91991246
104,0.78872865
105,0.8065758
106,1.0
107,1.0
108,1.0
109,0.81086624
110,0.88996524
111,0.8786349
112,0.5634364
113,0.7634034
114,1.0
115,0.88269544
116,0.80043215
117,0.4248657
118,1.0
119,0.6906497
120,0.7877336
121,0.76567215
122,0.953887
123,0.6163822
124,1.0
125,0.668832
126,0.46946102
127,0.9661633
128,0.59536576
129,0.26551217
130,0.18807724
131,0.49495402
132,0.4080045
133,0.32647684
134,0.4468995
135,0.32820553
136,0.3779791
137,0.34459934
138,0.3793051
139,0.22369707
140,0.5253294
141,0.19973631
142,0.22165976
143,0.464885
144,0.46679306
145,0.4765645
146,0.4153478
147,0.7709798
148,0.65377975
149,0.41043398
150,0.2893388
151,0.3338277
152,0.3602472
153,0.7418106
154,0.78953177
155,0.23589824
156,0.4869382
157,0.30422848
158,0.32310966
159,0.9427207
160,0.62158215
161,0.19710395
162,0.72208697
163,0.45788723
164,0.34527764
165,0.24043715
166,0.9541042
167,0.8930042
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,0.7618722
180,1.0
181,0.118811496
182,0.36998907
183,0.08089992
184,0.23256741
185,0.08775455
186,0.24045838
187,0.14933133
188,0.16161148
189,0.1464337
190,0.12659326
191,0.4502771
192,0.08586573
193,0.24709514
194,0.08738996
195,0.12391724
196,0.17546955
197,0.47225663
198,0.28400216
199,0.3256066
200,0.35473856
201,0.49666813
202,0.35862514
203,0.35960597
204,0.5238419
205,0.6060333
206,0.4001566
207,0.4354016
208,0.46307647
209,0.31619355
210,0.4524529
211,0.31021422
212,1.0
213,0.6822867
214,0.8931599
215,1.0
216,1.0
217,1.0
218,0.853292
219,0.8891951
220,1.0
221,0.7717865
222,1.0
223,1.0
224,0.9248094
225,1.0
226,1.0
227,0.4859283
228,0.28297564
229,0.2928151
230,0.21068577
231,0.34010887
232,0.24176738
233,0.21424629
234,0.38226244
235,0.44445327
236,0.33231807
237,0.43669522
238,0.3549231
239,0.21457076
240,0.5511245
241,0.21235622
242,0.6716466
243,0.5929515
244,0.656964
245,0.79073477
246,0.7887748
247,0.58351547
248,0.80800307
249,0.67691696
250,1.0
251,0.6050612
252,0.6085393
253,0.7873571
254,0.8673046
255,0.64297444
256,0.46594948
257,0.64580715
258,0.8008394
259,0.82544005
260,0.94783515
261,0.9042825
262,0.65830445
263,1.0
264,0.83460623
265,0.76269764
266,0.9919722
267,0.80280125
268,0.63449764
269,0.7642205
270,0.6484905
271,0.817294
272,0.65803844
273,0.8360748
274,0.8768092
275,0.68783146
276,0.85012704
277,1.0
278,0.9110689
279,0.7862797
280,0.7938057
281,0.78394324
282,0.5777125
283,0.6252631
284,0.80872035
285,0.7431097
286,0.6334234
287,0.081500806
288,0.14784087
289,0.36500958
290,0.11233488
291,0.12284497
292,0.08089919
293,0.13673602
294,0.26455817
295,0.16573729
296,0.12128198
297,0.1497865
298,0.1234642
299,0.1151189
300,0.14413139
301,0.14785132
302,0.25719678
303,0.14741585
304,0.17793037
305,0.29930317
306,0.22587414
307,0.14447188
308,0.122058876
309,0.14846729
310,0.21690825
311,0.3785618
312,0.24782029
313,0.3280302
314,0.19300404
315,0.25580728
316,0.19016641
317,0.15093736
318,0.17550401
319,0.170742
320,0.3705868
321,0.3326644
322,0.28475052
323,0.22940414
324,0.24063067
325,0.23264825
326,0.14812039
327,0.6067225
328,0.2137074
329,0.49014288
330,0.2930229
331,0.28847346
332,0.21154296
333,0.17592105
334,0.29353914
335,0.17633852
336,0.22439833
337,0.15214364
338,0.23211011
339,0.30348048
340,0.21370225
341,0.30495012
342,0.21382318
343,0.59341174
344,0.19099504
345,0.23670498
346,0.48747033
347,0.33556572
348,0.17131066
349,0.22074011
350,0.23195939
351,0.2653746
352,0.68814105
353,1.0
354,0.70664996
355,1.0
356,0.5432201
357,0.5698435
358,0.41196117
359,0.34510788
360,0.66389865
361,0.38028345
362,0.7526723
363,0.75681645
364,1.0
365,0.501223
366,0.4960319
367,0.43522653
368,0.53736496
369,0.51326585
370,0.3370178
371,0.32972404
372,0.55559886
373,0.26995566
374,0.55894256
375,0.57363087
376,0.5055533
377,0.5073039
378,0.26471034
379,0.22329535
380,0.25474602
381,0.29708427
382,0.4310394
383,0.1640834
384,0.6229547
385,0.5360249
386,1.0
387,1.0
388,1.0
389,0.580826
390,0.58114046
391,0.8072512
392,0.7085354
393,0.83295614
394,0.8675998
395,1.0
396,1.0
397,0.7374062
398,1.0
399,0.2114503
400,0.31896544
401,0.19794051
402,0.33544308
403,0.12228191
404,0.15515225
405,0.36697245
406,0.18450814
407,0.23464747
408,0.18806878
409,0.20074338
410,0.14058435
411,0.13110346
412,0.26045713
413,0.35676077
414,0.30486402
415,0.28518137
416,0.49222702
417,0.65361065
418,0.48201796
419,0.34836945
420,0.52508134
421,0.5030047
422,0.40237272
423,0.6248355
424,0.50932187
425,0.28210002
426,0.33527848
427,0.22151887
428,0.6442487
429,0.80221516
430,0.52663255
431,0.20698887
432,0.47116637
433,1.0
434,0.790692
435,0.8535619
436,0.56924534
437,0.45891303
438,0.6135022
439,0.28732502
440,0.5802243
441,0.43835494
442,0.5750563
443,0.519992
444,0.6761466
445,0.54397535
446,0.8984161
447,0.59477746
448,0.9584614
449,0.6272054
450,0.79342896
451,1.0
452,0.69397795
453,0.8090587
454,0.86595964
455,0.67080003
456,0.8525005
457,1.0
458,0.58017665
459,0.43782806
460,0.90636
461,0.78759664
