ligand,receptor,pathway,function,mean_score,max_score,total_score,n_interactions,pct_edges,causal_score,inverse_importance
LYN,TRPV4,cell_adhesion,functional,0.01388790223655838,50.273597468832556,1253.8692534276734,90285,95.52957359009628,0.008706765455547586,0.0050226846397035015
CCL2,MMP14,ligand,functional,0.32983894611634795,30.191505554241118,21922.745553623066,66465,70.32589144005925,0.14327715405958644,0.08312067215603866
MMP14,MMP2,ecm_regulator,functional,0.4859740098652892,26.1834529275829,24586.883081114578,50593,53.53190138609671,0.20442405086536056,0.11835220163493831
PTPRF,DAPK1,inhibitory_cofactor,functional,0.06977264043701505,97.16412936370757,6076.429483019203,87089,92.14792085493599,0.033992920164185494,0.019755974880149192
NFKB1,MAP3K8,ecm,functional,0.08944272967122585,79.82756569917923,7620.3416825291,85198,90.14707438366311,0.042105266461921136,0.024391461538981245
KITLG,KIT,ligand,functional,0.030617085694373675,100.0,2770.1114452841525,90476,95.73166860649667,0.0162688090791266,0.009388620997984619
ERBB3,GRB7,ligand_regulator,functional,0.023846938881545193,100.0,2172.766142314227,91113,96.4056713575283,0.012001782702985454,0.006930559329798893
GRB7,ERBB3,cell_adhesion,functional,0.02384693888154519,100.0,2172.7661423142267,91113,96.4056713575283,0.011962740472864318,0.006948089639565972
LYN,KIT,cell_adhesion,functional,0.023582649933509024,57.28789010305603,2119.6793239735916,89883,95.10422177547349,0.013475035931932073,0.007785361033615518
KIT,LYN,ligand,functional,0.023582649933509028,57.28789010305603,2119.679323973592,89883,95.10422177547349,0.0134524389513223,0.007790034207554699
NCOR1,PPARG,cell_adhesion,functional,0.15696688335207726,68.21780142505291,11817.094846277783,75284,79.65717913448313,0.06745808266768193,0.03909389725678609
NCOR1,HDAC3,cell_adhesion,functional,0.235639014870591,42.37880862211454,16951.635090775446,71939,76.1178711247487,0.10850449604025653,0.06284254017320778
LYN,PTPRC,cell_adhesion,functional,0.0839567487494391,89.37975859167119,7247.482379046582,86324,91.33848270024336,0.04074977476444753,0.023561208967668622
PTPRC,LYN,cell_surface_ligand,functional,0.08395674874943913,89.37975859167119,7247.482379046583,86324,91.33848270024336,0.04076598956616928,0.023582326399175027
TGFB3,TGFBR3,ligand,functional,0.23247788076281856,39.52134742855904,16720.971573865725,71925,76.10305787747328,0.10609361478200666,0.06143004022912786
LYN,PLCG2,cell_adhesion,functional,0.10885119875144719,45.08872953735605,8890.203955626946,81673,86.41731033753042,0.05277489299826241,0.030514123990169378
