ligand,receptor,pathway,function,mean_score,max_score,total_score,n_interactions,pct_edges,causal_score,inverse_importance
PTPN13,TRPM2,cell_adhesion,functional,0.03247270897784616,82.35892639064053,3519.1973627650996,108374,95.38621320940712,0.07284063839491925,0.5137452483177185
CCL2,MMP14,ligand,functional,0.4310232770870705,19.930743296155338,29590.178995304475,68651,60.42370792846078,0.9668429784380376,0.5137452483177185
MMP14,MMP2,ecm_regulator,functional,0.5251847411142996,24.714603735806538,32960.06916759233,62759,55.23781861709618,1.1780597622494176,0.5137452483177185
PTPRF,DAPK1,inhibitory_cofactor,functional,0.08602882247176677,83.45418214894728,8926.694734960407,103764,91.32868610054922,0.19297417882449489,0.5137452483177185
HSP90AA1,DAPK1,cell_adhesion,functional,0.2773733506651506,26.44816590546121,13852.025132217621,49940,43.95507674975356,0.6221856005290833,0.5137452483177185
CXCL16,CXCR6,ecm,functional,0.011329453419542869,66.60994799169983,1221.0658306514913,107778,94.86163920574567,0.02541348245100246,0.5137452483177185
PTPN6,KIT,ligand,functional,0.02145284880945122,100.0,2304.8297175410107,107437,94.56150542177159,0.04812161509950367,0.5137452483177185
LFNG,NOTCH2,ligand,functional,0.11255942864821693,55.44668098905432,10776.102020494343,95737,84.26366004788058,0.2524858842450445,0.5137452483177185
MMP14,PTK7,ecm_regulator,functional,0.11147741030233879,68.5644496062322,10796.475710371209,96849,85.24239543726236,0.2500587720776381,0.5137452483177185
IL6,IL6R,ligand,functional,0.058511022678955575,54.66223498326321,6112.471006202452,104467,91.94743698070694,0.13124806581373827,0.5137452483177185
TGFB2,TGFBR3,ligand,functional,0.08429976530854363,56.259048277786206,7737.706858140603,91788,80.7879171947613,0.1890956718703506,0.5137452483177185
TGFB2,TGFBR1,ligand,functional,0.050205920061619974,64.0875871989432,5135.563563103107,102290,90.03133361498381,0.11261860755096277,0.5137452483177185
KIT,INPP5D,ligand,functional,0.02025743856943914,85.53632859560696,2203.1787613736315,108759,95.72507393324884,0.04544014971619646,0.5137452483177185
KIT,PTPRU,ligand,functional,0.02603144615453553,55.301009649244115,2731.8961481338856,104946,92.3690325306295,0.058392022591430275,0.5137452483177185
