ligand,receptor,pathway,function,mean_score,max_score,total_score,n_interactions,pct_edges,causal_score,inverse_importance
CCL2,MMP14,ligand,functional,0.40310671891179456,25.30823307741616,31625.334525505932,78454,57.07571877546269,0.160872660361774,0.09312297517340419
FLNA,SPHK1,ecm,functional,0.37699778833531156,37.71671819373371,24345.76317511775,64578,46.98085205447561,0.1385404979118227,0.08025377155312877
CXCL9,CXCR3,ligand,functional,0.0036580429444598023,90.43549445233857,497.9913342869796,136136,99.03969270166453,0.0,0.0
LYN,CBL,cell_adhesion,functional,0.08207039384952888,86.8274111643112,10228.104903891386,124626,90.66610406239087,0.039113198884727654,0.02265983645944431
CBL,LYN,cell_adhesion,functional,0.08207039384952888,86.8274111643112,10228.104903891386,124626,90.66610406239087,0.03911532499980457,0.022656380077698764
LCK,SYK,cell_surface_ligand,functional,0.01936951384794346,76.99214140520607,2565.7439128401347,132463,96.3675648934932,0.010715298608002551,0.00619834706346849
SYK,LCK,cell_adhesion,functional,0.01936951384794346,76.99214140520607,2565.7439128401347,132463,96.3675648934932,0.01071039619607241,0.006184956352217589
CBL,SYK,cell_adhesion,functional,0.04964878763449511,100.0,6436.816370449387,129647,94.31890932371087,0.022167974663123036,0.012875123457315497
SYK,CBL,cell_adhesion,functional,0.04964878763449511,100.0,6436.816370449387,129647,94.31890932371087,0.022164086255349956,0.0128621620980719
LCK,MUC1,cell_surface_ligand,functional,0.017462811654009463,100.0,2341.763042802669,134100,97.55849144453498,0.009109958477228081,0.005310036317213782
LYN,ITPR1,cell_adhesion,functional,0.13236282326364435,83.48026648585271,15708.952227752576,118681,86.34108369223607,0.05682679626402546,0.03295153861561176
BTK,PLCG2,cell_adhesion,functional,0.053223892900587925,67.17825696753046,6449.564893907444,121178,88.15766499825398,0.025444821003684212,0.014734184617334658
LYN,BTK,cell_adhesion,functional,0.036468794617919166,55.67766189660864,4631.901604421913,127010,92.40047724362705,0.018124078145211983,0.01050655272059095
BTK,LYN,cell_adhesion,functional,0.03646879461791917,55.67766189660864,4631.901604421914,127010,92.40047724362705,0.01814310982957592,0.01052361481798813
CXCL10,CXCR3,ligand,functional,0.005597657589356906,60.61323383299623,755.6557862752355,134995,98.20960889302759,0.003950765778390647,0.0022827410547007917
LYN,SYK,cell_adhesion,functional,0.07854923021202692,70.29992825949991,9774.901855275266,124443,90.53297055057618,0.036199363277676644,0.021047092166188715
SYK,LYN,cell_adhesion,functional,0.07854923021202691,70.29992825949991,9774.901855275264,124443,90.53297055057618,0.036185953514247166,0.02094189829845858
LYN,CASP9,cell_adhesion,functional,0.08871335286823101,62.20222215270159,10975.61601685754,123720,90.0069840530788,0.04108439104510017,0.023780141517111168
ESR1,HSPA8,cell_adhesion,functional,0.09983270947547863,26.663562908949054,6157.182356900144,61675,44.86890350366663,0.0547970192011687,0.03178033061050648
CSF3,CSF3R,ligand,functional,0.006783408003173103,82.09904746623785,908.2372809528499,133891,97.4064427889652,0.0045684358479699885,0.0026423144716747797
LCK,CBL,cell_surface_ligand,functional,0.0229414439700101,100.0,3041.576641543939,132580,96.45268304039111,0.011642649365113548,0.006717952554521504
CBL,LCK,cell_adhesion,functional,0.0229414439700101,100.0,3041.576641543939,132580,96.45268304039111,0.011625208674346448,0.006731509279458504
LCK,CD8A,cell_surface_ligand,functional,0.012955483907373276,100.0,1756.128799128355,135551,98.61410196717495,0.007904600742915492,0.004584508830204667
LYN,PLCG2,cell_adhesion,functional,0.153547142616196,72.26278521627809,17523.721198215986,114126,83.02729600744966,0.06243365932448413,0.03619822761531774
TGFB2,TGFBR3,ligand,functional,0.1678575125140582,38.96102650660939,18452.072778132875,109927,79.97250029100222,0.06607666130121702,0.03834320177806225
TGFB2,TGFBR1,ligand,functional,0.11980126062869899,48.67087107278564,14510.44848860865,121121,88.11619718309859,0.04834297730553733,0.027996844406860854
SYK,NFAM1,cell_adhesion,functional,0.03230156731577176,82.11169449858934,4256.474429901192,131773,95.8655860784542,0.014798730911475247,0.008542308078655289
BTK,CBL,cell_adhesion,functional,0.02283728529462991,85.7184051673049,3026.077325250231,132506,96.398847631242,0.011646272976244328,0.0067529041072215135
CD4,LCK,cell_adhesion,functional,0.03121312847518525,80.88568233377228,4023.3410473229033,128899,93.77473518798742,0.015971903372663323,0.009222283480644857
LCK,CD4,cell_surface_ligand,functional,0.031213128475185245,80.88568233377228,4023.341047322903,128899,93.77473518798742,0.015978320584194104,0.009259156310170848
CD8A,LAT,ligand,functional,0.020039394802927008,100.0,2702.2121922006922,134845,98.10048306367129,0.010194783173242579,0.005869278271241905
BTK,TLR6,cell_adhesion,functional,0.005598484043560618,100.0,762.2168070786474,136147,99.047695262484,0.003938653449069912,0.0022714285805538596
BTK,TLR8,cell_adhesion,functional,0.013679536000114565,100.0,1852.8521126075175,135447,98.53844139215458,0.00757852694849393,0.004388448708514798
SYK,PLCG2,cell_adhesion,functional,0.11730321284619606,71.27876651321935,13945.123246368634,118881,86.48658479804446,0.04916896751887419,0.028475741280872022
CBL,PDGFRA,cell_adhesion,functional,0.14005172706086394,67.29756036572043,15470.25382287009,110461,80.36098824351066,0.06203753854345127,0.035936407396749775
IGF1,ESR1,ligand,functional,0.024900195886920853,83.52621174267624,3253.559195368626,130664,95.05878244674659,0.012300199143298442,0.007108918556291869
NTF3,NTRK3,ligand,functional,0.01967339681266063,100.0,2647.7637834287434,134586,97.9120591316494,0.00998887197517311,0.005863338998453965
CCL21,ACKR4,ligand,functional,0.04720312907279926,78.20681051801215,5742.071839189739,121646,88.49813758584565,0.024385266568271034,0.014144907294514956
CCL5,CXCR3,ligand,functional,0.005987163313435798,59.282080053701584,807.2192937339815,134825,98.08593295309045,0.0,0.0
CCL11,CXCR3,ligand,functional,0.03126208096116565,37.16701107396148,3050.5851222715055,97581,70.99071702944943,0.016289488728300328,0.009384616718540286
CCL7,CXCR3,ligand,functional,0.002430351086532236,100.0,332.7223547995227,136903,99.59768944243976,0.0,0.0
PTAFR,GNAQ,cell_adhesion,functional,0.05913440811773968,57.98100215203841,7342.542052755382,124167,90.33217902456059,0.027295492449438737,0.015824572452977442
GSN,CASP9,ecm,functional,0.2732251853212843,27.12611413011166,17895.429962988157,65497,47.64942963566523,0.15340581887937602,0.08890644430340508
TNF,HMOX1,ligand,functional,0.019321401410753843,100.0,2532.5720113159705,131076,95.35851472471191,0.01019202375061364,0.005894456025552161
HMOX1,TNF,ecm,functional,0.019321401410753843,100.0,2532.5720113159705,131076,95.35851472471191,0.010191312074092207,0.00584761881673225
TNF,NFE2L2,ligand,functional,0.04376492979867855,46.00895660239879,4882.940747498163,111572,81.16924688627634,0.02261899625992334,0.013093795780747854
ESR1,NFE2L2,cell_adhesion,functional,0.05131057396951449,53.94866690352718,5721.64210334056,111510,81.12414154347573,0.025863924924304664,0.015009816316447995
PTGS2,NFE2L2,cell_surface_ligand,functional,0.03633006618157569,47.34861871326903,4056.179229040563,111648,81.22453730648353,0.01925494081594727,0.011152833022854546
LCK,PLCG2,cell_surface_ligand,functional,0.04193432876861745,61.14623084975775,5080.092324345392,121144,88.13292981026656,0.020410563410148526,0.01181669321066194
LCK,CD5,cell_surface_ligand,functional,0.0034258654801835645,96.94883890886746,466.8324113881738,136267,99.13499592596904,0.0,0.0
ADAM17,HBEGF,ecm_regulator,functional,0.16300055113579015,64.01947272223528,18763.319442343076,115112,83.74461645908508,0.0697633803315019,0.04041496758263104
LCK,ESR1,cell_surface_ligand,functional,0.00980105739476028,100.0,1331.1306100693675,135815,98.80616342684205,0.005575098324669429,0.0032055330382853154
CTSG,C3,ligand,functional,0.19834616514086117,29.239794545478723,11808.340595496029,59534,43.31131416598766,0.0797586014441578,0.04618702483561322
CLCF1,CNTFR,ligand,functional,0.015440653896379478,100.0,2074.776104710407,134371,97.75564544290538,0.007925988281882354,0.004671889342746186
SYK,TUBA4A,cell_adhesion,functional,0.26481063600455945,32.057203313093595,19991.34934389221,75493,54.92157490396927,0.0976186427081587,0.05651594589865039
HBB,CD163,ecm,functional,0.3851685066395658,24.298234315194968,34065.45823272312,88443,64.34277150506344,0.18218128812636736,0.10557194716493817
LYN,PTGS2,cell_adhesion,functional,0.021911696192936755,70.08903404461134,2795.209348244363,127567,92.80569782330346,0.0122919134355512,0.007121946071960061
BTK,TEC,cell_adhesion,functional,0.006796095718224919,100.0,923.5010588624295,135887,98.85854382493307,0.0,0.0
LYN,INPP5D,cell_adhesion,functional,0.08790087884169674,59.47653213770875,10864.284922197192,123597,89.91750087300665,0.039626935723390294,0.022983571409225256
LYN,PRKDC,cell_adhesion,functional,0.20786927032419664,44.30172641684246,22530.326602628702,108387,78.85214177627749,0.08900382254851891,0.05156990809091127
SYK,BTK,cell_adhesion,functional,0.023835483008863647,81.00460947303011,3156.0801406866444,132411,96.329734605983,0.011407131263245837,0.006608075106441102
BTK,SYK,cell_adhesion,functional,0.02383548300886364,81.00460947303011,3156.0801406866435,132411,96.329734605983,0.011432849722218879,0.0066434672673096225
LPAR1,GNAQ,ligand,functional,0.12259212495373868,63.51746131241941,14679.058449835717,119739,87.11078454196252,0.052388018492541565,0.030385419912900856
TGFBR1,ACVR1,cell_adhesion,functional,0.13646030089139916,55.564961485457694,16194.83558918947,118678,86.33890117564893,0.06193606339263932,0.03591779465336708
IL33,IL1RL1,ligand,functional,0.11148649315456494,44.13156801633943,12825.629145487459,115042,83.69369107205215,0.04768592529631492,0.027637554580690626
PTGFR,GNAQ,ecm,functional,0.04736912438880236,72.69740040409556,5906.598227412932,124693,90.71484693283669,0.022500251053074252,0.013036649003652217
PIK3CA,BTK,cell_adhesion,functional,0.04160919782129097,69.3701103802403,5274.090651442095,126753,92.21350832266324,0.02004466543210162,0.011652130482832515
HBA2,CD163,ecm,functional,0.35439118691265814,27.724543745326407,31812.27928440167,89766,65.30526131998603,0.16730958923797634,0.0969107310963221
CHRM3,GNAQ,cell_surface_ligand,functional,0.014670431966739369,80.98301610392338,1838.1757845685095,125298,91.15498777790711,0.008219886588601556,0.004774209871000589
