ligand,receptor,pathway,function,AX,LA,LV,RA,RV,SP,mean_score
CFD,C3,secreted_enzyme,functional,0.7661998437379723,0.776470757888516,0.8372573401914473,0.7093809156021919,0.7002176927662568,0.7557569257726056,0.7575472459931648
FBLN1,FN1,ligand,functional,0.8066450218835268,0.7914982864939502,0.5133991173112356,0.7189371057586159,0.7986452443291364,0.8012891547216802,0.738402321749691
THBS1,FN1,ecm,functional,0.6116677318184709,0.6538395949151832,0.4203342973270621,0.7046498008282858,0.7857753566222351,0.8081822466516725,0.6640748380271516
MMP2,DCN,ecm,functional,0.7469041312915293,0.7888769504703919,0.7793873864311631,0.748076604668145,0.7478971788392651,0.0,0.6351903752834157
THBS1,MMP2,ecm,functional,0.588276967025515,0.6269541091868095,0.4170068295673468,0.6976958235227658,0.7840561990568967,0.0,0.5189983213932223
TIMP1,MMP2,ecm_regulator,functional,0.8304947238302616,0.795091593346494,0.6402712388424417,0.0,0.8230699522135971,0.0,0.5148212513721324
VCAN,FN1,ecm,functional,0.6597519215370182,0.7732771796576932,0.0,0.0,0.6540013748856566,0.6814309463629749,0.46141023707389045
FBLN1,VCAN,ligand,functional,0.6347916165388247,0.7819746699874237,0.0,0.0,0.6814464999186659,0.6645848267035809,0.4604662688580825
S100A9,CD68,ligand,functional,0.37930374595467264,0.5452494033618964,0.3645468132037028,0.7071151999469807,0.0,0.6495950079087932,0.44096836172934095
POSTN,FLNA,ligand,functional,0.3577987972853056,0.5717540872843718,0.14816553662194026,0.6943338571025497,0.2433508947484626,0.4742056265444404,0.4149347999311784
CD14,VCAN,cell_surface_ligand,functional,0.47579510005601783,0.6914356431951031,0.0,0.0,0.6671463017218254,0.6326839986520885,0.4111768406041724
VIM,CD44,ecm,functional,0.5488792486413756,0.6347816871113838,0.436567821756409,0.0,0.0,0.6823653648096081,0.3837656870531294
IGF1,FLNA,ligand,functional,0.32601362604401635,0.4694403530510537,0.20441121329071948,0.3815112750582745,0.47336570030964625,0.3880011533783616,0.373790553522012
TIMP1,CD44,ecm_regulator,functional,0.5266930024493444,0.6300489034867847,0.3583409559948816,0.0,0.0,0.709353262930725,0.3707393541436226
DCN,LRP1,ligand,functional,0.7240701656690517,0.0,0.7869393628119782,0.0,0.7111572457213051,0.0,0.3703611290337225
CD74,ACKR3,cell_adhesion,functional,0.0,0.6166991231272357,0.43205354623259695,0.6198983080674124,0.0,0.5344145766109568,0.3671775923397003
HBB,CD163,ecm,functional,0.31555644290643853,0.5464754392808815,0.25265628363374887,0.4044839622977065,0.2679568591651755,0.3851685066395658,0.3620495823205861
HBA2,CD163,ecm,functional,0.30176787946109956,0.5272101893310007,0.2803154360995067,0.3825506047189949,0.28416152504036113,0.35439118691265814,0.3550661369272701
FN1,CD44,ecm,functional,0.4937127659446168,0.630805526143794,0.26476120577543966,0.0,0.0,0.7286292120108885,0.35298478497912317
VCAN,COL1A1,ecm,functional,0.41875093827969895,0.6501313706966813,0.0,0.0,0.42311595254285705,0.5904765647950347,0.34707913771904525
VCAN,COL1A2,ecm,functional,0.6288564863807595,0.0,0.0,0.0,0.6650723648315943,0.7172147558526163,0.335190601177495
C1QB,LRP1,ecm,functional,0.660431494393211,0.0,0.5244324414239633,0.0,0.8199761772898237,0.0,0.33414001885116634
CXCL12,FN1,ligand,functional,0.0,0.753358519268072,0.44592282886384205,0.0,0.76679310613433,0.0,0.32767907571104066
FN1,CXCL12,ecm,functional,0.0,0.7533585192680717,0.44592282886384205,0.0,0.7667931061343303,0.0,0.32767907571104066
CCL2,ACKR1,ligand,functional,0.21045008356863698,0.4295497014593666,0.2472218623535984,0.0,0.5300992591650169,0.5300632485418012,0.32456402584807
COL3A1,DDR2,ecm,functional,0.3407700834366183,0.5059075292728307,0.193230163362289,0.0,0.3786016490568979,0.48781065467838275,0.3177200133011698
CD14,CXCL12,cell_surface_ligand,functional,0.0,0.6790299962596908,0.42928035919648455,0.0,0.784473347202123,0.0,0.31546395044304976
S100A8,CD68,ligand,functional,0.24378654689464727,0.3583390933684148,0.22739358110608343,0.5288714644712539,0.0,0.5187916691780325,0.3128637258364053
FN1,ICAM1,ecm,functional,0.4161215479157677,0.5694071506289711,0.26728617757083284,0.6058683238323543,0.0,0.0,0.30978053332465433
APOE,LRP1,ligand,functional,0.5890969001759384,0.0,0.4799358130176936,0.0,0.774369382571687,0.0,0.3072336826275532
TNC,FN1,ecm,functional,0.28635190713519215,0.45510562896301027,0.09417023051396789,0.0,0.24042764204898331,0.7351221464522297,0.30186292585223057
COL3A1,CD44,ecm,functional,0.36357256921573416,0.5158717275587179,0.2230326588318282,0.0,0.0,0.6968102020170944,0.2998811929372291
THBS1,LRP1,ecm,functional,0.5541556084620882,0.0,0.4163903703750238,0.0,0.8124996369641416,0.0,0.2971742693002089
COL1A2,DDR2,ecm,functional,0.45980539360426903,0.0,0.2666284962104454,0.0,0.49500211955150997,0.5291105981314446,0.29175776791627817
MMP14,MMP2,ecm_regulator,functional,0.4542166330104723,0.4859740098652892,0.2525713935755572,0.5251847411142996,0.0,0.0,0.28632446292760305
CYBB,MMP2,cell_surface_enzyme,functional,0.2960090724278822,0.4503705695157564,0.0,0.4728533256546946,0.48963395176462515,0.0,0.2848111532271597
CCL2,MMP14,ligand,functional,0.24322144777447197,0.32983894611634795,0.22926843649188464,0.4310232770870705,0.0,0.40310671891179456,0.2727431377302616
FBLN2,VCAN,ligand,functional,0.5337376494823138,0.0,0.0,0.0,0.5406706715235247,0.5507221836471321,0.2708550841088284
TIMP2,MMP2,ecm_regulator,functional,0.0,0.0,0.0,0.8163047129377878,0.8079980927292392,0.0,0.27071713427783783
SERPING1,C1S,ecm_regulator,functional,0.0,0.8226883866014976,0.0,0.7836512196648636,0.0,0.0,0.2677232677110602
CFD,CFB,secreted_enzyme,functional,0.0,0.4450836510307951,0.2171719371275707,0.541495308379576,0.38905290609971227,0.0,0.26546730043960903
DDR2,COL1A1,cell_adhesion,functional,0.26924654768367456,0.4520350971787769,0.15313157557656332,0.0,0.29662153157651994,0.40724666552873046,0.26304690292404426
COL1A1,DDR2,ecm,functional,0.26924654768367456,0.4520350971787769,0.15313157557656332,0.0,0.29662153157651994,0.4072466655287304,0.2630469029240442
FN1,C5AR1,ecm,functional,0.23507492129053945,0.0,0.0,0.5209252166256498,0.3983153907191718,0.41186338174329656,0.26102981839644296
COL1A1,CD44,ecm,functional,0.2947212073469589,0.46118561312845296,0.18480091625090936,0.0,0.0,0.6251773777533586,0.26098085241327995
SERPING1,C1R,ecm_regulator,functional,0.0,0.8061033130468849,0.0,0.7497612433198416,0.0,0.0,0.2593107593944544
MMP2,PECAM1,ecm,functional,0.7560719810374104,0.0,0.0,0.0,0.7907105695323786,0.0,0.2577970917616315
COL1A2,CD44,ecm,functional,0.46006641228586004,0.0,0.3066138331012863,0.0,0.0,0.7429642668790827,0.2516074187110382
GSN,FN1,ecm,functional,0.760465753424087,0.0,0.0,0.0,0.0,0.6945039875839752,0.24249495683467703
CCL2,ICAM1,ligand,functional,0.21941940010527672,0.38865020176702547,0.24753661048787975,0.5868714200969644,0.0,0.0,0.24041293874285774
