edge_idx,source_cell,target_cell,causal_score,lr_score,region
38,2,6030,1.0,0.9637390375137329,AX
46,2,1268,1.0,0.9663752913475037,AX
88,5,1840,1.0,0.9989593029022217,AX
34,1,5621,1.0,0.9735280871391296,AX
283,18,1168,1.0,0.9927444458007812,AX
50,2,6136,1.0,0.98895263671875,AX
0,0,1751,1.0,0.9991793036460876,AX
285,18,358,1.0,0.9997438788414001,AX
24,1,4520,1.0,0.9727286100387573,AX
296,18,1972,1.0,0.9997945427894592,AX
15,0,1877,1.0,0.9967041611671448,AX
28,1,4431,1.0,0.9572490453720093,AX
3,0,576,1.0,0.9970505237579346,AX
95,5,455,1.0,0.9997082352638245,AX
292,18,1050,1.0,0.9979921579360962,AX
84,5,2104,1.0,0.9957684278488159,AX
156,9,910,1.0,0.9677560329437256,AX
44,2,1893,1.0,0.9829952120780945,AX
297,18,2047,1.0,0.9998047947883606,AX
158,9,1190,1.0,0.9439834356307983,AX
289,18,1745,1.0,0.9996604919433594,AX
25,1,5329,1.0,0.9815788269042969,AX
333,21,582,1.0,0.9958016276359558,AX
83,5,915,1.0,0.9991716146469116,AX
294,18,1534,1.0,0.9995576739311218,AX
92,5,1278,1.0,0.9990978240966797,AX
94,5,116,1.0,0.9997434020042419,AX
96,5,1092,1.0,0.9993230104446411,AX
33,1,5430,1.0,0.9751586318016052,AX
284,18,612,1.0,0.9997504353523254,AX
86,5,1707,1.0,0.9837215542793274,AX
287,18,1421,1.0,0.9896078705787659,AX
37,2,4544,1.0,0.9461442828178406,AX
293,18,2130,1.0,0.9981901049613953,AX
19,0,378,1.0,0.9968920350074768,AX
90,5,1986,1.0,0.9631815552711487,AX
41,2,4356,1.0,0.990359902381897,AX
288,18,486,1.0,0.9971911311149597,AX
43,2,510,1.0,0.9972706437110901,AX
21,1,4376,1.0,0.9574328064918518,AX
45,2,354,1.0,0.9870386123657227,AX
361,23,1550,1.0,0.9740673899650574,AX
286,18,1738,1.0,0.996248185634613,AX
295,18,636,1.0,0.9947085380554199,AX
306,19,349,1.0,0.9383884072303772,AX
395,25,1756,1.0,0.9906927943229675,AX
363,23,1409,1.0,0.9723614454269409,AX
334,21,1854,1.0,0.9972684383392334,AX
291,18,525,1.0,0.9954460859298706,AX
30,1,771,1.0,0.9909103512763977,AX
