edge_idx,source_cell,target_cell,causal_score,lr_score,region
651,40,8539,1.0,0.9998167157173157,LV
88,5,6604,1.0,0.9999176263809204,LV
716,44,12,1.0,0.9999535083770752,LV
725,44,4116,1.0,0.9999372959136963,LV
720,44,5721,1.0,0.9999388456344604,LV
723,44,5891,1.0,0.9998400211334229,LV
573,35,1539,1.0,0.9998481273651123,LV
927,57,8000,1.0,0.9997352957725525,LV
149,9,1342,1.0,0.9999465942382812,LV
921,57,2319,1.0,0.9999576807022095,LV
863,53,7610,1.0,0.9998646974563599,LV
231,14,5234,1.0,0.9998459815979004,LV
911,56,432,1.0,0.9999997615814209,LV
712,44,469,1.0,0.9999003410339355,LV
919,57,8180,1.0,0.9996258020401001,LV
718,44,7181,1.0,0.9998883008956909,LV
923,57,2452,1.0,0.9999371767044067,LV
717,44,3360,1.0,0.9999492168426514,LV
930,57,7915,1.0,0.9997397065162659,LV
650,40,1251,1.0,0.9999417066574097,LV
924,57,261,1.0,0.9999165534973145,LV
722,44,3686,1.0,0.9998626708984375,LV
929,57,4947,1.0,0.9992302656173706,LV
545,33,9022,1.0,0.9997714161872864,LV
857,53,2236,1.0,0.9999417066574097,LV
724,44,5102,1.0,0.9999299049377441,LV
575,35,4614,1.0,0.9995168447494507,LV
906,56,6933,1.0,0.9999994039535522,LV
715,44,2472,1.0,0.9999220371246338,LV
920,57,1907,1.0,0.9999020099639893,LV
570,35,4982,1.0,0.9988980293273926,LV
721,44,7746,1.0,0.9997337460517883,LV
66,4,5582,1.0,0.9997863173484802,LV
932,57,4119,1.0,0.9991905093193054,LV
711,44,669,1.0,0.9999511241912842,LV
922,57,1676,1.0,0.9998496770858765,LV
719,44,7512,1.0,0.9999545812606812,LV
928,57,7225,1.0,0.9997677206993103,LV
912,56,841,1.0,0.9999995231628418,LV
926,57,2985,1.0,0.9992086291313171,LV
45,2,3855,1.0,0.999842643737793,LV
933,57,8285,1.0,0.9997749924659729,LV
504,31,813,1.0,0.999993085861206,LV
727,44,6133,1.0,0.9998155236244202,LV
925,57,2646,1.0,0.9994931221008301,LV
934,58,1944,1.0,0.999962329864502,LV
931,57,3922,1.0,0.9997096657752991,LV
909,56,944,1.0,0.9999998807907104,LV
858,53,699,1.0,0.9999215602874756,LV
82,5,1156,1.0,0.9998824596405029,LV
