edge_idx,source_cell,target_cell,causal_score,lr_score,region
693,44,4170,1.0,0.999975323677063,SP
559,35,1458,1.0,0.9999709129333496,SP
706,44,2463,1.0,0.9999953508377075,SP
695,44,4871,1.0,0.9999984502792358,SP
701,44,952,1.0,0.9999951124191284,SP
1036,65,2510,1.0,0.9999951124191284,SP
42,2,1066,1.0,0.9974223375320435,SP
823,52,2931,1.0,0.9999904632568359,SP
694,44,3602,1.0,0.9999945163726807,SP
1024,65,2978,1.0,0.9999639987945557,SP
248,15,181,1.0,0.999864935874939,SP
698,44,1920,1.0,0.9999939203262329,SP
1032,65,5211,1.0,0.9999850988388062,SP
702,44,5195,1.0,0.9999914169311523,SP
1039,65,4818,1.0,0.9999909400939941,SP
560,35,1759,1.0,0.9999438524246216,SP
700,44,1107,1.0,0.9998984336853027,SP
255,15,8480,1.0,0.9997311234474182,SP
1063,67,7470,1.0,0.9989801049232483,SP
1034,65,3022,1.0,0.9999915361404419,SP
699,44,1144,1.0,0.9999927282333374,SP
708,44,3285,1.0,0.9999978542327881,SP
1383,88,2267,1.0,0.9999861717224121,SP
246,15,8400,1.0,0.999884843826294,SP
1030,65,764,1.0,0.9999392032623291,SP
456,28,6842,1.0,0.9995074272155762,SP
639,40,640,1.0,0.9997795224189758,SP
697,44,1943,1.0,0.9999973773956299,SP
499,31,1112,1.0,0.9995548129081726,SP
1038,65,3298,1.0,0.9999957084655762,SP
709,44,5585,1.0,0.9999922513961792,SP
832,52,847,1.0,0.9999927282333374,SP
703,44,4245,1.0,0.9999935626983643,SP
1083,68,2948,1.0,0.9996767044067383,SP
458,28,6218,1.0,0.9992331266403198,SP
704,44,2806,1.0,0.9999973773956299,SP
242,15,8461,1.0,0.9998633861541748,SP
705,44,4590,1.0,0.9999955892562866,SP
696,44,5411,1.0,0.999992847442627,SP
707,44,3193,1.0,0.999998927116394,SP
558,35,1921,1.0,0.9999961853027344,SP
1392,88,146,1.0,0.9997318387031555,SP
555,35,5749,1.0,0.999972939491272,SP
1075,68,1319,1.0,0.9998056292533875,SP
1080,68,3290,1.0,0.9996556043624878,SP
1429,91,2349,1.0,0.9999933242797852,SP
1391,88,18,1.0,0.9999964237213135,SP
1258,79,7545,1.0,0.999909520149231,SP
1048,66,628,1.0,0.9994271993637085,SP
1037,65,3299,1.0,0.9999876022338867,SP
